ibge_code,municipality,reference_year,period,concept,financial_stage,unit,siope_value,rreo_value,canonical_value,absolute_difference,percentage_difference,status,tolerance_rule_id
4313953,Pantano Grande,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,75.5,75.5,75.5,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314001,Paraí,2024,6,mdeAppliedAmount,empenhado,BRL,11395794.09,11395794.09,11395794.09,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4314001,Paraí,2024,6,mdeAppliedRate,calculated_indicator,percent,26.29,26.29,26.29,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314001,Paraí,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,98.06,98.06,98.06,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314027,Paraíso do Sul,2024,6,mdeAppliedAmount,empenhado,BRL,9334204.41,9334204.41,9334204.41,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4314027,Paraíso do Sul,2024,6,mdeAppliedRate,calculated_indicator,percent,31.61,31.61,31.61,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314027,Paraíso do Sul,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,88.31,88.31,88.31,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314035,Pareci Novo,2024,6,mdeAppliedAmount,empenhado,BRL,8752024.62,8752024.62,8752024.62,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
4314035,Pareci Novo,2024,6,mdeAppliedRate,calculated_indicator,percent,29.2,29.2,29.2,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314035,Pareci Novo,2024,6,fundebProfessionalRemunerationRate,calculated_indicator,percent,89.27,89.27,89.27,"{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,published_precision_2_decimals
4314050,Parobé,2024,6,mdeAppliedAmount,empenhado,BRL,33391169.78,33391169.78,33391169.78,"{'value': 0.0, 'unit': 'BRL', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}","{'value': 0.0, 'unit': 'percent', 'referenceYear': 2024, 'financialStage': 'calculated_indicator', 'amountNature': 'local_calculation', 'sourceId': 'siope_rreo_constitutional_reconciliation_2024_p6'}",reconciled,monetary_absolute_0_01
